scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[17,2,6]]",68,35,31,68,2226.0,154.0,20.3,39,26,1.7435897435897436,1.3461538461538463,False,3,True,0.4915254237288136,0.0989010989010989,39,98,26,117.0
greedy,"[[17,2,6]]",69,35,31,68,2226.0,189.0,20.3,39,26,1.7692307692307692,1.3461538461538463,False,3,True,0.5084745762711864,0.0989010989010989,39,98,26,117.0
greedy,"[[17,2,6]]",70,35,31,68,2226.0,224.0,13.8,39,26,1.794871794871795,1.3461538461538463,False,3,True,0.5254237288135594,0.0989010989010989,39,98,26,117.0
greedy,"[[17,2,6]]",71,34,30,71,2238.0,176.0,19.5,39,26,1.8205128205128205,1.3076923076923077,False,3,True,0.5423728813559322,0.08791208791208792,39,98,26,117.0
greedy,"[[17,2,6]]",72,34,30,71,2238.0,210.0,20.5,39,26,1.8461538461538463,1.3076923076923077,False,3,True,0.559322033898305,0.08791208791208792,39,98,26,117.0
greedy,"[[17,2,6]]",73,34,30,73,2234.0,248.0,13.3,39,26,1.8717948717948718,1.3076923076923077,False,3,True,0.576271186440678,0.08791208791208792,39,98,26,117.0
greedy,"[[17,2,6]]",74,34,30,73,2234.0,282.0,18.5,39,26,1.8974358974358974,1.3076923076923077,False,3,True,0.5932203389830508,0.08791208791208792,39,98,26,117.0
greedy,"[[17,2,6]]",75,32,28,75,2238.0,162.0,23.9,39,26,1.9230769230769231,1.2307692307692308,False,3,True,0.6101694915254238,0.06593406593406594,39,98,26,117.0
greedy,"[[17,2,6]]",76,32,28,75,2238.0,194.0,23.8,39,26,1.9487179487179487,1.2307692307692308,False,3,True,0.6271186440677966,0.06593406593406594,39,98,26,117.0
greedy,"[[17,2,6]]",77,32,28,75,2238.0,226.0,12.4,39,26,1.9743589743589745,1.2307692307692308,False,3,True,0.6440677966101694,0.06593406593406594,39,98,26,117.0
greedy,"[[17,2,6]]",78,31,27,78,2205.0,213.0,17.5,39,26,2.0,1.1923076923076923,False,3,True,0.6610169491525424,0.054945054945054944,39,98,26,117.0
greedy,"[[17,2,6]]",79,31,27,78,2205.0,244.0,17.4,39,26,2.0256410256410255,1.1923076923076923,False,3,True,0.6779661016949152,0.054945054945054944,39,98,26,117.0
