code,"[[20,2,6]]",,,,,,,,code,"[[21,2,6]]",,,,,,,,code,"[[19,2,6]]",,,,,,,,code,"[[17,2,6]]",,,,,,,,code,"[[16,3,5]]",,,,,,
seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec
,75,47,43,72,2750,775,0.6,,,73,57,53,72,3082,1079,0.6,,,71,51,47,67,2725,896,0.6,,,69,47,43,69,2623,620,0.6,,,70,35,31,69,1797,653,0.4
,76,47,43,72,2750,822,0.6,,,74,52,48,74,2949,899,0.6,,,72,51,47,67,2725,947,0.6,,,70,47,43,69,2623,667,0.6,,,71,33,29,71,1774,569,0.4
,77,47,43,72,2750,869,0.6,,,75,52,48,74,2949,951,0.6,,,73,51,47,67,2725,998,0.6,,,71,47,43,69,2623,714,0.6,,,72,33,29,71,1774,602,0.4
,78,42,38,78,2612,664,0.6,,,76,52,48,74,2949,1003,0.6,,,74,47,43,74,2633,845,0.6,,,72,47,43,69,2623,761,0.6,,,73,33,29,71,1774,635,0.4
,79,42,38,78,2612,706,0.6,,,77,52,48,74,2949,1055,0.6,,,75,44,40,75,2636,664,0.6,,,73,47,43,69,2623,808,0.6,,,74,31,27,74,1771,523,0.4
,80,42,38,78,2612,748,0.6,,,78,52,48,74,2949,1107,0.6,,,76,44,40,75,2636,708,0.6,,,74,43,39,74,2489,693,0.6,,,75,31,27,74,1771,554,0.4
,81,42,38,78,2612,790,0.6,,,79,52,48,74,2949,1159,0.6,,,77,44,40,75,2636,752,0.6,,,75,43,39,74,2489,736,0.6,,,76,31,27,74,1771,585,0.4
,82,42,38,78,2612,832,0.6,,,80,44,40,80,2703,817,0.6,,,78,44,40,75,2636,796,0.6,,,76,43,39,74,2489,779,0.6,,,77,31,27,74,1771,616,0.4
,83,38,34,83,2540,614,0.6,,,81,44,40,80,2703,861,0.6,,,79,44,40,75,2636,840,0.6,,,77,43,39,74,2489,822,0.6,,,78,31,27,74,1771,647,0.4
,84,38,34,83,2540,652,0.6,,,82,44,40,80,2703,905,0.6,,,80,41,37,80,2592,688,0.6,,,78,43,39,74,2489,865,0.6,,,79,31,27,74,1771,678,0.4
,85,38,34,83,2540,690,0.6,,,83,44,40,80,2703,949,0.6,,,81,41,37,80,2592,729,0.6,,,79,40,36,79,2514,646,0.6,,,80,31,27,74,1771,709,0.4
,86,38,34,83,2540,728,0.6,,,84,44,40,80,2703,993,0.6,,,82,41,37,80,2592,770,0.6,,,80,40,36,79,2514,686,0.6,,,81,31,27,74,1771,740,0.4
,87,38,34,83,2540,766,0.7,,,85,44,40,80,2703,1037,0.6,,,83,41,37,80,2592,811,0.7,,,81,40,36,79,2514,726,0.6,,,82,31,27,74,1771,771,0.4
,88,38,34,83,2540,804,0.6,,,86,41,37,86,2650,876,0.6,,,84,38,34,84,2508,684,0.7,,,82,37,33,82,2451,583,0.6,,,83,31,27,74,1771,802,0.4
,89,38,34,83,2540,842,0.6,,,87,41,37,86,2650,917,0.6,,,85,38,34,84,2508,722,0.6,,,83,37,33,82,2451,620,0.6,,,84,29,25,84,1739,697,0.4
,90,38,34,83,2540,880,0.6,,,88,41,37,86,2650,958,0.9,,,86,38,34,84,2508,760,0.6,,,84,37,33,82,2451,657,0.6,,,85,28,24,85,1730,650,0.4
,91,36,32,91,2592,684,0.6,,,89,41,37,86,2650,999,0.6,,,87,38,34,84,2508,798,0.6,,,85,37,33,82,2451,694,0.6,,,86,27,23,86,1701,621,0.4
,92,36,32,91,2592,720,0.6,,,90,41,37,86,2650,1040,0.6,,,88,38,34,84,2508,836,0.6,,,86,37,33,82,2451,731,0.6,,,87,27,23,86,1701,648,0.5
,93,34,30,93,2563,599,0.6,,,91,39,35,91,2672,877,0.6,,,89,36,32,89,2511,693,0.6,,,87,37,33,82,2451,768,0.6,,,88,27,23,86,1701,675,0.4
,94,34,30,93,2563,633,0.6,,,92,39,35,91,2672,916,0.6,,,90,36,32,89,2511,729,0.6,,,88,35,31,88,2437,643,0.6,,,89,27,23,86,1701,702,0.4
,95,34,30,93,2563,667,0.6,,,93,39,35,91,2672,955,0.7,,,91,36,32,89,2511,765,0.6,,,89,35,31,88,2437,678,0.6,,,90,27,23,86,1701,729,0.4
,96,34,30,93,2563,701,0.6,,,94,39,35,91,2672,994,0.6,,,92,36,32,89,2511,801,0.6,,,90,35,31,88,2437,713,0.6,,,91,27,23,86,1701,756,0.4
,97,34,30,93,2563,735,0.6,,,95,39,35,91,2672,1033,0.6,,,93,36,32,89,2511,837,0.6,,,91,33,29,91,2409,594,0.6,,,92,27,23,86,1701,783,0.4
,98,34,30,93,2563,769,0.6,,,96,39,35,91,2672,1072,0.6,,,94,33,29,94,2423,679,0.6,,,92,33,29,91,2409,627,0.6,,,93,27,23,86,1701,810,0.4
,,,,,,,,,,97,39,35,91,2672,1111,0.6,,,95,33,29,94,2423,712,0.6,,,93,33,29,91,2409,660,0.6,,,94,27,23,86,1701,837,0.4
,,,,,,,,,,98,37,33,98,2660,966,0.6,,,96,33,29,94,2423,745,0.6,,,94,33,29,91,2409,693,0.6,,,95,27,23,86,1701,864,0.4
,,,,,,,,,,,,,,,,,,,97,33,29,94,2423,778,0.6,,,95,33,29,91,2409,726,0.6,,,96,27,23,86,1701,891,0.4
,,,,,,,,,,,,,,,,,,,98,33,29,94,2423,811,0.6,,,96,33,29,91,2409,759,0.6,,,97,26,22,97,1747,775,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,30,26,97,2398,512,0.6,,,98,26,22,97,1747,801,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,30,26,97,2398,542,0.6,,,,,,,,,
